PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.86,0.88,0.93,0.91,0.84,0.75,0.55,0.41,0.34,0.46,0.48,0.46,0.66
GWETTOP,2012,0.48,0.59,0.66,0.74,0.59,0.48,0.32,0.25,0.2,0.27,0.5,0.77,0.48
GWETTOP,2013,0.8,0.81,0.77,0.7,0.56,0.45,0.34,0.25,0.28,0.34,0.41,0.47,0.52
GWETTOP,2014,0.46,0.62,0.72,0.67,0.56,0.45,0.34,0.3,0.23,0.38,0.48,0.61,0.48
GWETTOP,2015,0.62,0.67,0.62,0.55,0.55,0.49,0.42,0.3,0.21,0.43,0.53,0.6,0.5
GWETTOP,2016,0.72,0.84,0.88,0.84,0.76,0.58,0.39,0.21,0.16,0.42,0.64,0.75,0.6
GWETTOP,2017,0.88,0.94,0.94,0.91,0.81,0.61,0.41,0.3,0.37,0.37,0.52,0.6,0.63
GWETTOP,2018,0.66,0.63,0.77,0.84,0.73,0.55,0.38,0.25,0.16,0.35,0.33,0.61,0.52
GWETTOP,2019,0.73,0.85,0.91,0.88,0.79,0.66,0.47,0.31,0.3,0.28,0.23,0.66,0.59
GWETTOP,2020,0.71,0.66,0.64,0.73,0.59,0.48,0.35,0.23,0.17,0.14,0.37,0.5,0.46
GWETTOP,2021,0.53,0.69,0.7,0.59,0.49,0.38,0.28,0.21,0.18,0.41,0.66,0.66,0.48
