PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.91,0.88,0.94,0.9,0.8,0.67,0.48,0.25,0.2,0.46,0.49,0.47,0.62
GWETTOP,2012,0.47,0.61,0.71,0.79,0.62,0.45,0.23,0.15,0.15,0.25,0.55,0.84,0.48
GWETTOP,2013,0.88,0.83,0.77,0.67,0.52,0.37,0.23,0.15,0.25,0.28,0.38,0.49,0.48
GWETTOP,2014,0.46,0.67,0.74,0.7,0.55,0.34,0.2,0.18,0.2,0.35,0.51,0.74,0.47
GWETTOP,2015,0.75,0.77,0.67,0.57,0.52,0.4,0.24,0.15,0.13,0.41,0.55,0.68,0.48
GWETTOP,2016,0.86,0.89,0.91,0.85,0.72,0.5,0.26,0.13,0.12,0.44,0.7,0.82,0.6
GWETTOP,2017,0.95,0.98,0.93,0.91,0.77,0.55,0.29,0.16,0.25,0.29,0.56,0.65,0.6
GWETTOP,2018,0.73,0.69,0.82,0.84,0.68,0.48,0.23,0.13,0.12,0.34,0.33,0.7,0.51
GWETTOP,2019,0.81,0.92,0.95,0.88,0.77,0.6,0.38,0.17,0.27,0.27,0.2,0.75,0.58
GWETTOP,2020,0.76,0.7,0.7,0.74,0.57,0.43,0.2,0.14,0.12,0.11,0.36,0.53,0.45
GWETTOP,2021,0.59,0.77,0.73,0.59,0.45,0.23,0.15,0.13,0.16,0.42,0.73,0.78,0.48
