PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.82,0.82,0.88,0.86,0.77,0.64,0.39,0.27,0.15,0.35,0.39,0.38,0.56
GWETTOP,2012,0.46,0.55,0.66,0.74,0.53,0.35,0.23,0.1,0.08,0.17,0.46,0.8,0.43
GWETTOP,2013,0.84,0.8,0.76,0.66,0.41,0.33,0.21,0.1,0.22,0.26,0.29,0.37,0.44
GWETTOP,2014,0.35,0.54,0.69,0.62,0.42,0.3,0.13,0.14,0.15,0.31,0.41,0.76,0.4
GWETTOP,2015,0.78,0.8,0.72,0.56,0.39,0.29,0.16,0.09,0.13,0.17,0.37,0.47,0.41
GWETTOP,2016,0.68,0.72,0.78,0.68,0.48,0.34,0.2,0.09,0.08,0.29,0.47,0.63,0.45
GWETTOP,2017,0.81,0.89,0.88,0.84,0.66,0.4,0.25,0.12,0.11,0.17,0.4,0.41,0.49
GWETTOP,2018,0.52,0.49,0.56,0.56,0.41,0.3,0.13,0.08,0.07,0.23,0.24,0.49,0.34
GWETTOP,2019,0.68,0.82,0.88,0.83,0.7,0.45,0.3,0.15,0.16,0.16,0.16,0.54,0.48
GWETTOP,2020,0.57,0.53,0.46,0.42,0.37,0.27,0.12,0.09,0.09,0.09,0.24,0.38,0.3
GWETTOP,2021,0.44,0.49,0.48,0.38,0.3,0.13,0.08,0.07,0.12,0.29,0.55,0.62,0.33
