PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.88,0.84,0.9,0.85,0.69,0.55,0.37,0.17,0.16,0.43,0.47,0.43,0.56
GWETTOP,2012,0.4,0.55,0.62,0.69,0.52,0.34,0.16,0.12,0.12,0.23,0.49,0.78,0.42
GWETTOP,2013,0.83,0.77,0.67,0.57,0.42,0.25,0.16,0.12,0.2,0.23,0.34,0.48,0.42
GWETTOP,2014,0.44,0.58,0.64,0.59,0.47,0.23,0.16,0.14,0.17,0.27,0.48,0.7,0.41
GWETTOP,2015,0.7,0.71,0.6,0.52,0.48,0.3,0.19,0.13,0.12,0.36,0.53,0.65,0.44
GWETTOP,2016,0.84,0.85,0.87,0.79,0.6,0.4,0.16,0.11,0.1,0.37,0.6,0.74,0.53
GWETTOP,2017,0.92,0.95,0.91,0.88,0.68,0.45,0.2,0.13,0.2,0.24,0.47,0.55,0.55
GWETTOP,2018,0.63,0.59,0.75,0.76,0.56,0.38,0.16,0.12,0.1,0.29,0.3,0.68,0.45
GWETTOP,2019,0.78,0.9,0.91,0.83,0.67,0.51,0.27,0.13,0.2,0.2,0.19,0.71,0.52
GWETTOP,2020,0.71,0.64,0.63,0.67,0.51,0.34,0.15,0.12,0.11,0.1,0.34,0.5,0.4
GWETTOP,2021,0.55,0.73,0.67,0.54,0.38,0.17,0.12,0.12,0.12,0.34,0.63,0.72,0.42
