PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.86,0.85,0.91,0.88,0.73,0.6,0.42,0.18,0.12,0.46,0.5,0.51,0.59
GWETTOP,2012,0.58,0.68,0.73,0.8,0.59,0.38,0.17,0.11,0.09,0.22,0.55,0.87,0.48
GWETTOP,2013,0.9,0.86,0.8,0.68,0.48,0.3,0.18,0.12,0.2,0.23,0.3,0.48,0.46
GWETTOP,2014,0.41,0.62,0.74,0.68,0.5,0.25,0.13,0.11,0.19,0.36,0.51,0.84,0.45
GWETTOP,2015,0.87,0.88,0.8,0.66,0.51,0.3,0.17,0.12,0.19,0.22,0.48,0.62,0.48
GWETTOP,2016,0.83,0.85,0.89,0.81,0.62,0.43,0.18,0.11,0.09,0.38,0.64,0.78,0.55
GWETTOP,2017,0.92,0.97,0.93,0.89,0.71,0.48,0.21,0.12,0.11,0.2,0.52,0.55,0.55
GWETTOP,2018,0.68,0.66,0.73,0.73,0.54,0.34,0.15,0.1,0.09,0.34,0.32,0.66,0.45
GWETTOP,2019,0.82,0.92,0.95,0.89,0.76,0.55,0.29,0.13,0.16,0.18,0.2,0.73,0.55
GWETTOP,2020,0.78,0.74,0.63,0.57,0.49,0.3,0.13,0.12,0.12,0.11,0.31,0.51,0.4
GWETTOP,2021,0.58,0.65,0.62,0.52,0.34,0.15,0.1,0.09,0.12,0.36,0.74,0.79,0.42
