PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.94,0.91,0.96,0.93,0.86,0.75,0.52,0.43,0.24,0.55,0.63,0.72,0.7
GWETTOP,2012,0.85,0.91,0.95,0.94,0.83,0.66,0.51,0.38,0.22,0.38,0.72,0.96,0.7
GWETTOP,2013,0.94,0.91,0.89,0.87,0.68,0.52,0.41,0.29,0.38,0.58,0.55,0.6,0.63
GWETTOP,2014,0.59,0.79,0.91,0.88,0.77,0.52,0.45,0.25,0.3,0.59,0.8,0.92,0.65
GWETTOP,2015,0.92,0.93,0.88,0.85,0.66,0.5,0.39,0.23,0.39,0.36,0.59,0.91,0.63
GWETTOP,2016,0.97,0.93,0.95,0.88,0.75,0.52,0.45,0.23,0.17,0.67,0.92,0.96,0.7
GWETTOP,2017,0.97,0.97,0.95,0.93,0.84,0.64,0.47,0.26,0.34,0.45,0.73,0.85,0.7
GWETTOP,2018,0.91,0.91,0.94,0.91,0.8,0.57,0.41,0.22,0.18,0.41,0.54,0.83,0.63
GWETTOP,2019,0.93,0.96,0.94,0.91,0.78,0.56,0.44,0.34,0.4,0.52,0.51,0.77,0.67
GWETTOP,2020,0.92,0.91,0.85,0.82,0.73,0.61,0.45,0.25,0.23,0.39,0.55,0.75,0.62
GWETTOP,2021,0.92,0.95,0.91,0.8,0.58,0.51,0.38,0.23,0.32,0.59,0.85,0.91,0.66
