PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.83,0.79,0.8,0.73,0.55,0.41,0.17,0.12,0.11,0.36,0.47,0.45,0.48
GWETTOP,2012,0.4,0.53,0.53,0.56,0.38,0.16,0.11,0.09,0.09,0.17,0.39,0.59,0.34
GWETTOP,2013,0.64,0.61,0.56,0.45,0.22,0.13,0.1,0.09,0.1,0.13,0.27,0.4,0.3
GWETTOP,2014,0.27,0.5,0.53,0.46,0.25,0.12,0.1,0.1,0.1,0.14,0.48,0.57,0.3
GWETTOP,2015,0.57,0.56,0.52,0.4,0.3,0.18,0.2,0.14,0.14,0.27,0.52,0.55,0.36
GWETTOP,2016,0.66,0.7,0.66,0.57,0.41,0.17,0.11,0.09,0.09,0.19,0.51,0.58,0.39
GWETTOP,2017,0.79,0.88,0.82,0.7,0.49,0.23,0.11,0.09,0.14,0.18,0.33,0.38,0.43
GWETTOP,2018,0.51,0.52,0.6,0.58,0.38,0.16,0.11,0.09,0.09,0.18,0.27,0.57,0.34
GWETTOP,2019,0.62,0.77,0.77,0.62,0.51,0.32,0.13,0.1,0.09,0.09,0.15,0.59,0.39
GWETTOP,2020,0.6,0.56,0.57,0.59,0.41,0.17,0.11,0.09,0.09,0.09,0.27,0.41,0.33
GWETTOP,2021,0.5,0.61,0.58,0.48,0.21,0.12,0.1,0.09,0.09,0.27,0.51,0.56,0.34
