PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.88,0.87,0.91,0.87,0.7,0.58,0.37,0.15,0.11,0.47,0.51,0.52,0.58
GWETTOP,2012,0.59,0.72,0.75,0.8,0.57,0.32,0.16,0.1,0.09,0.21,0.55,0.89,0.48
GWETTOP,2013,0.91,0.88,0.81,0.68,0.45,0.27,0.17,0.11,0.2,0.26,0.31,0.48,0.46
GWETTOP,2014,0.42,0.62,0.79,0.7,0.49,0.21,0.12,0.12,0.19,0.38,0.52,0.87,0.45
GWETTOP,2015,0.89,0.89,0.82,0.66,0.48,0.24,0.18,0.12,0.19,0.23,0.48,0.64,0.48
GWETTOP,2016,0.86,0.89,0.91,0.82,0.62,0.41,0.16,0.1,0.09,0.38,0.66,0.82,0.55
GWETTOP,2017,0.94,0.97,0.92,0.88,0.66,0.41,0.14,0.11,0.12,0.21,0.52,0.56,0.53
GWETTOP,2018,0.69,0.66,0.71,0.71,0.52,0.29,0.12,0.09,0.09,0.32,0.31,0.67,0.43
GWETTOP,2019,0.84,0.94,0.95,0.88,0.72,0.5,0.2,0.12,0.18,0.2,0.2,0.73,0.54
GWETTOP,2020,0.78,0.73,0.61,0.54,0.47,0.27,0.12,0.12,0.12,0.11,0.32,0.51,0.39
GWETTOP,2021,0.59,0.68,0.62,0.51,0.3,0.15,0.1,0.09,0.16,0.39,0.75,0.79,0.42
