PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.94,0.91,0.97,0.91,0.84,0.73,0.53,0.41,0.23,0.56,0.61,0.66,0.7
GWETTOP,2012,0.77,0.89,0.94,0.94,0.8,0.62,0.49,0.34,0.2,0.32,0.64,0.95,0.66
GWETTOP,2013,0.93,0.89,0.88,0.84,0.63,0.5,0.39,0.25,0.34,0.51,0.51,0.52,0.59
GWETTOP,2014,0.51,0.71,0.89,0.88,0.73,0.5,0.38,0.2,0.3,0.59,0.77,0.94,0.62
GWETTOP,2015,0.92,0.93,0.86,0.8,0.6,0.48,0.34,0.23,0.38,0.37,0.53,0.85,0.61
GWETTOP,2016,0.97,0.93,0.95,0.87,0.74,0.52,0.42,0.21,0.16,0.61,0.88,0.95,0.69
GWETTOP,2017,0.97,0.97,0.95,0.93,0.83,0.62,0.45,0.28,0.29,0.37,0.67,0.79,0.67
GWETTOP,2018,0.85,0.88,0.92,0.91,0.79,0.58,0.41,0.22,0.17,0.43,0.44,0.8,0.62
GWETTOP,2019,0.92,0.96,0.95,0.91,0.8,0.6,0.45,0.31,0.35,0.48,0.47,0.77,0.66
GWETTOP,2020,0.89,0.9,0.84,0.81,0.72,0.58,0.43,0.27,0.18,0.24,0.44,0.64,0.58
GWETTOP,2021,0.84,0.93,0.91,0.8,0.6,0.48,0.32,0.18,0.3,0.57,0.84,0.88,0.63
