PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.37,0.37,0.36,0.27,0.14,0.1,0.12,0.09,0.16,0.14,0.29,0.32,0.23
GWETTOP,2012,0.27,0.26,0.25,0.22,0.12,0.07,0.14,0.2,0.16,0.1,0.14,0.27,0.18
GWETTOP,2013,0.34,0.34,0.23,0.12,0.1,0.07,0.13,0.16,0.23,0.16,0.21,0.31,0.2
GWETTOP,2014,0.2,0.16,0.23,0.15,0.11,0.08,0.09,0.2,0.13,0.12,0.13,0.33,0.16
GWETTOP,2015,0.3,0.23,0.27,0.12,0.19,0.13,0.14,0.1,0.13,0.16,0.16,0.16,0.17
GWETTOP,2016,0.33,0.23,0.13,0.17,0.13,0.09,0.07,0.1,0.13,0.13,0.12,0.22,0.16
GWETTOP,2017,0.38,0.37,0.34,0.2,0.16,0.08,0.08,0.13,0.18,0.1,0.12,0.12,0.19
GWETTOP,2018,0.17,0.15,0.14,0.1,0.08,0.06,0.11,0.13,0.08,0.24,0.15,0.32,0.14
GWETTOP,2019,0.35,0.36,0.31,0.16,0.12,0.09,0.08,0.08,0.13,0.15,0.2,0.37,0.2
GWETTOP,2020,0.35,0.34,0.34,0.34,0.17,0.08,0.06,0.05,0.05,0.05,0.07,0.09,0.16
GWETTOP,2021,0.21,0.31,0.2,0.1,0.08,0.06,0.09,0.15,0.12,0.12,0.1,0.19,0.15
