PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.8,0.73,0.72,0.66,0.56,0.33,0.16,0.14,0.17,0.34,0.48,0.45,0.46
GWETTOP,2012,0.38,0.53,0.48,0.58,0.36,0.17,0.12,0.11,0.11,0.16,0.23,0.53,0.31
GWETTOP,2013,0.57,0.56,0.54,0.31,0.25,0.16,0.13,0.14,0.14,0.14,0.32,0.45,0.31
GWETTOP,2014,0.26,0.4,0.52,0.44,0.26,0.16,0.13,0.13,0.11,0.11,0.45,0.59,0.3
GWETTOP,2015,0.59,0.58,0.5,0.3,0.31,0.21,0.23,0.18,0.16,0.34,0.51,0.51,0.37
GWETTOP,2016,0.62,0.62,0.59,0.55,0.35,0.18,0.12,0.1,0.1,0.16,0.39,0.58,0.36
GWETTOP,2017,0.74,0.8,0.71,0.6,0.43,0.19,0.12,0.11,0.23,0.19,0.2,0.26,0.38
GWETTOP,2018,0.49,0.45,0.59,0.54,0.29,0.17,0.12,0.11,0.1,0.12,0.2,0.57,0.31
GWETTOP,2019,0.59,0.67,0.7,0.59,0.55,0.34,0.16,0.12,0.12,0.11,0.22,0.6,0.4
GWETTOP,2020,0.61,0.58,0.58,0.62,0.47,0.2,0.13,0.12,0.1,0.1,0.3,0.3,0.34
GWETTOP,2021,0.5,0.57,0.55,0.33,0.22,0.15,0.12,0.12,0.11,0.22,0.44,0.5,0.32
