PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.77,0.72,0.73,0.65,0.51,0.36,0.16,0.11,0.12,0.34,0.46,0.48,0.45
GWETTOP,2012,0.43,0.5,0.49,0.53,0.35,0.16,0.11,0.09,0.09,0.21,0.35,0.55,0.32
GWETTOP,2013,0.58,0.55,0.52,0.38,0.22,0.14,0.11,0.09,0.09,0.1,0.23,0.37,0.28
GWETTOP,2014,0.24,0.45,0.52,0.44,0.23,0.12,0.11,0.1,0.1,0.11,0.47,0.56,0.29
GWETTOP,2015,0.55,0.55,0.49,0.37,0.28,0.18,0.2,0.15,0.13,0.25,0.48,0.51,0.34
GWETTOP,2016,0.59,0.61,0.59,0.51,0.34,0.16,0.1,0.09,0.09,0.18,0.48,0.54,0.36
GWETTOP,2017,0.73,0.81,0.73,0.6,0.45,0.21,0.11,0.09,0.13,0.16,0.27,0.3,0.38
GWETTOP,2018,0.48,0.49,0.57,0.52,0.34,0.16,0.11,0.09,0.09,0.16,0.24,0.53,0.31
GWETTOP,2019,0.59,0.7,0.71,0.57,0.49,0.3,0.13,0.09,0.09,0.09,0.16,0.58,0.38
GWETTOP,2020,0.59,0.54,0.55,0.57,0.4,0.18,0.11,0.09,0.09,0.09,0.27,0.34,0.32
GWETTOP,2021,0.49,0.58,0.54,0.43,0.2,0.12,0.1,0.09,0.09,0.22,0.48,0.53,0.32
