PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.92,0.91,0.95,0.89,0.77,0.64,0.48,0.28,0.17,0.49,0.54,0.56,0.63
GWETTOP,2012,0.65,0.8,0.84,0.9,0.71,0.51,0.34,0.2,0.15,0.26,0.59,0.93,0.57
GWETTOP,2013,0.93,0.88,0.83,0.71,0.51,0.41,0.31,0.19,0.26,0.36,0.37,0.49,0.52
GWETTOP,2014,0.46,0.7,0.84,0.79,0.58,0.41,0.23,0.16,0.24,0.46,0.55,0.91,0.52
GWETTOP,2015,0.91,0.91,0.84,0.7,0.53,0.4,0.27,0.18,0.28,0.26,0.49,0.74,0.54
GWETTOP,2016,0.94,0.92,0.94,0.85,0.67,0.49,0.3,0.16,0.14,0.47,0.78,0.9,0.63
GWETTOP,2017,0.97,0.97,0.93,0.91,0.74,0.52,0.31,0.18,0.15,0.25,0.58,0.64,0.59
GWETTOP,2018,0.76,0.76,0.82,0.84,0.66,0.48,0.28,0.17,0.15,0.44,0.38,0.74,0.54
GWETTOP,2019,0.89,0.96,0.95,0.9,0.78,0.58,0.38,0.23,0.21,0.22,0.23,0.8,0.59
GWETTOP,2020,0.87,0.85,0.74,0.66,0.55,0.45,0.24,0.18,0.16,0.14,0.35,0.55,0.48
GWETTOP,2021,0.68,0.77,0.74,0.59,0.47,0.29,0.17,0.13,0.21,0.45,0.84,0.86,0.52
