PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.78,0.78,0.85,0.85,0.79,0.73,0.53,0.38,0.28,0.45,0.48,0.48,0.62
GWETTOP,2012,0.5,0.57,0.64,0.7,0.61,0.5,0.34,0.16,0.13,0.22,0.53,0.77,0.47
GWETTOP,2013,0.79,0.8,0.77,0.71,0.6,0.49,0.37,0.25,0.38,0.38,0.44,0.47,0.53
GWETTOP,2014,0.47,0.57,0.66,0.65,0.55,0.43,0.27,0.31,0.21,0.42,0.5,0.7,0.48
GWETTOP,2015,0.73,0.77,0.73,0.65,0.58,0.5,0.46,0.3,0.2,0.44,0.48,0.57,0.53
GWETTOP,2016,0.7,0.77,0.8,0.76,0.7,0.54,0.4,0.19,0.14,0.41,0.58,0.68,0.55
GWETTOP,2017,0.81,0.91,0.9,0.88,0.79,0.62,0.45,0.3,0.31,0.32,0.53,0.58,0.62
GWETTOP,2018,0.63,0.63,0.7,0.74,0.67,0.55,0.41,0.2,0.13,0.38,0.36,0.54,0.49
GWETTOP,2019,0.67,0.8,0.88,0.84,0.76,0.62,0.47,0.29,0.35,0.47,0.44,0.61,0.6
GWETTOP,2020,0.64,0.64,0.64,0.66,0.55,0.48,0.3,0.22,0.16,0.13,0.34,0.5,0.44
GWETTOP,2021,0.55,0.62,0.62,0.54,0.47,0.3,0.16,0.14,0.26,0.45,0.65,0.66,0.45
