PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.75,0.7,0.73,0.66,0.49,0.38,0.22,0.13,0.15,0.3,0.37,0.39,0.44
GWETTOP,2012,0.37,0.38,0.38,0.43,0.34,0.16,0.11,0.12,0.14,0.16,0.25,0.41,0.27
GWETTOP,2013,0.42,0.42,0.4,0.3,0.23,0.12,0.1,0.12,0.14,0.17,0.25,0.38,0.26
GWETTOP,2014,0.28,0.27,0.46,0.41,0.28,0.12,0.09,0.15,0.12,0.11,0.3,0.49,0.26
GWETTOP,2015,0.51,0.48,0.45,0.38,0.33,0.19,0.23,0.18,0.24,0.32,0.3,0.33,0.33
GWETTOP,2016,0.47,0.47,0.47,0.42,0.34,0.18,0.09,0.08,0.08,0.16,0.3,0.44,0.29
GWETTOP,2017,0.67,0.78,0.73,0.57,0.43,0.28,0.12,0.12,0.19,0.12,0.12,0.12,0.35
GWETTOP,2018,0.34,0.39,0.47,0.44,0.35,0.2,0.12,0.09,0.08,0.19,0.22,0.46,0.28
GWETTOP,2019,0.57,0.77,0.79,0.66,0.54,0.43,0.25,0.12,0.09,0.09,0.2,0.52,0.41
GWETTOP,2020,0.58,0.5,0.56,0.65,0.47,0.34,0.17,0.11,0.09,0.08,0.22,0.21,0.33
GWETTOP,2021,0.4,0.41,0.41,0.3,0.18,0.11,0.09,0.1,0.11,0.2,0.3,0.41,0.25
