PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.85,0.82,0.84,0.78,0.58,0.48,0.23,0.12,0.12,0.4,0.45,0.4,0.5
GWETTOP,2012,0.37,0.52,0.55,0.58,0.44,0.2,0.12,0.09,0.09,0.17,0.41,0.63,0.34
GWETTOP,2013,0.7,0.65,0.57,0.49,0.27,0.13,0.1,0.09,0.13,0.2,0.33,0.45,0.34
GWETTOP,2014,0.3,0.5,0.52,0.48,0.3,0.13,0.11,0.11,0.11,0.17,0.48,0.55,0.31
GWETTOP,2015,0.55,0.55,0.51,0.44,0.34,0.16,0.19,0.13,0.15,0.27,0.51,0.58,0.36
GWETTOP,2016,0.74,0.77,0.76,0.63,0.5,0.24,0.11,0.09,0.09,0.25,0.5,0.6,0.44
GWETTOP,2017,0.85,0.92,0.88,0.78,0.55,0.3,0.12,0.09,0.17,0.21,0.34,0.45,0.47
GWETTOP,2018,0.51,0.5,0.64,0.62,0.47,0.2,0.12,0.1,0.09,0.21,0.27,0.59,0.36
GWETTOP,2019,0.67,0.84,0.84,0.7,0.55,0.4,0.15,0.1,0.09,0.09,0.14,0.59,0.43
GWETTOP,2020,0.59,0.55,0.55,0.58,0.45,0.2,0.11,0.09,0.09,0.09,0.32,0.43,0.34
GWETTOP,2021,0.52,0.62,0.59,0.5,0.27,0.12,0.1,0.09,0.09,0.29,0.51,0.59,0.36
