PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.9,0.89,0.93,0.9,0.84,0.81,0.73,0.69,0.64,0.7,0.72,0.72,0.79
GWETTOP,2012,0.76,0.81,0.83,0.85,0.78,0.7,0.67,0.62,0.59,0.61,0.73,0.89,0.73
GWETTOP,2013,0.9,0.88,0.84,0.8,0.72,0.7,0.67,0.61,0.62,0.62,0.64,0.69,0.73
GWETTOP,2014,0.68,0.78,0.82,0.81,0.73,0.67,0.62,0.58,0.6,0.66,0.7,0.89,0.71
GWETTOP,2015,0.91,0.91,0.86,0.81,0.75,0.7,0.67,0.61,0.6,0.6,0.7,0.76,0.73
GWETTOP,2016,0.88,0.89,0.91,0.88,0.82,0.74,0.69,0.66,0.59,0.68,0.79,0.86,0.78
GWETTOP,2017,0.95,0.97,0.95,0.93,0.88,0.81,0.74,0.7,0.62,0.61,0.72,0.73,0.8
GWETTOP,2018,0.83,0.82,0.85,0.86,0.8,0.72,0.68,0.63,0.59,0.64,0.64,0.8,0.74
GWETTOP,2019,0.87,0.92,0.95,0.92,0.88,0.82,0.74,0.7,0.65,0.59,0.59,0.84,0.79
GWETTOP,2020,0.85,0.83,0.79,0.77,0.71,0.67,0.61,0.59,0.57,0.55,0.63,0.7,0.69
GWETTOP,2021,0.75,0.8,0.78,0.73,0.68,0.64,0.59,0.57,0.58,0.67,0.84,0.88,0.71
