PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.92,0.89,0.92,0.88,0.72,0.59,0.38,0.17,0.21,0.45,0.48,0.45,0.59
GWETTOP,2012,0.41,0.59,0.63,0.68,0.52,0.32,0.15,0.12,0.12,0.23,0.47,0.78,0.42
GWETTOP,2013,0.84,0.79,0.68,0.57,0.44,0.21,0.15,0.13,0.2,0.27,0.39,0.48,0.43
GWETTOP,2014,0.42,0.55,0.61,0.57,0.47,0.24,0.17,0.16,0.16,0.25,0.49,0.6,0.39
GWETTOP,2015,0.59,0.61,0.55,0.5,0.46,0.27,0.27,0.16,0.18,0.36,0.55,0.64,0.43
GWETTOP,2016,0.84,0.87,0.88,0.78,0.6,0.41,0.17,0.11,0.12,0.34,0.58,0.73,0.53
GWETTOP,2017,0.94,0.97,0.91,0.88,0.68,0.45,0.17,0.16,0.26,0.27,0.4,0.52,0.55
GWETTOP,2018,0.57,0.55,0.77,0.79,0.59,0.38,0.19,0.13,0.12,0.31,0.3,0.67,0.45
GWETTOP,2019,0.78,0.93,0.93,0.84,0.68,0.53,0.28,0.14,0.14,0.14,0.16,0.67,0.52
GWETTOP,2020,0.66,0.6,0.61,0.69,0.53,0.37,0.16,0.12,0.12,0.11,0.38,0.49,0.4
GWETTOP,2021,0.54,0.74,0.7,0.56,0.41,0.19,0.16,0.16,0.12,0.35,0.58,0.69,0.43
