PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.91,0.9,0.95,0.89,0.8,0.69,0.53,0.43,0.35,0.55,0.57,0.6,0.68
GWETTOP,2012,0.7,0.85,0.88,0.92,0.8,0.6,0.49,0.38,0.34,0.38,0.61,0.93,0.66
GWETTOP,2013,0.92,0.88,0.84,0.78,0.56,0.51,0.42,0.36,0.38,0.47,0.48,0.52,0.59
GWETTOP,2014,0.5,0.72,0.87,0.86,0.69,0.51,0.4,0.34,0.37,0.53,0.65,0.91,0.61
GWETTOP,2015,0.91,0.91,0.84,0.77,0.6,0.49,0.42,0.37,0.41,0.41,0.51,0.8,0.62
GWETTOP,2016,0.96,0.92,0.94,0.86,0.73,0.55,0.45,0.36,0.31,0.57,0.82,0.92,0.7
GWETTOP,2017,0.96,0.97,0.93,0.92,0.8,0.6,0.46,0.37,0.34,0.38,0.65,0.74,0.67
GWETTOP,2018,0.81,0.84,0.88,0.89,0.78,0.58,0.44,0.36,0.31,0.45,0.46,0.81,0.63
GWETTOP,2019,0.91,0.95,0.95,0.91,0.83,0.69,0.51,0.4,0.41,0.42,0.38,0.75,0.67
GWETTOP,2020,0.86,0.86,0.8,0.75,0.64,0.54,0.42,0.35,0.3,0.23,0.41,0.61,0.56
GWETTOP,2021,0.79,0.88,0.87,0.74,0.57,0.47,0.37,0.33,0.38,0.58,0.87,0.9,0.64
