-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2021 
Location: Latitude  37.2096   Longitude -120.7318 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 167.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.71,0.69,0.73,0.66,0.48,0.41,0.2,0.1,0.09,0.34,0.4,0.38,0.43
GWETTOP,2012,0.38,0.45,0.47,0.49,0.37,0.21,0.11,0.09,0.08,0.16,0.37,0.57,0.31
GWETTOP,2013,0.64,0.59,0.51,0.43,0.25,0.12,0.09,0.09,0.11,0.16,0.27,0.39,0.3
GWETTOP,2014,0.3,0.44,0.47,0.44,0.28,0.12,0.09,0.09,0.1,0.15,0.42,0.55,0.29
GWETTOP,2015,0.55,0.54,0.48,0.4,0.32,0.16,0.12,0.12,0.1,0.23,0.45,0.49,0.33
GWETTOP,2016,0.62,0.65,0.65,0.55,0.44,0.22,0.1,0.08,0.08,0.23,0.45,0.51,0.38
GWETTOP,2017,0.73,0.84,0.8,0.65,0.46,0.27,0.1,0.09,0.12,0.16,0.33,0.39,0.41
GWETTOP,2018,0.46,0.45,0.53,0.51,0.38,0.18,0.11,0.09,0.09,0.14,0.23,0.52,0.3
GWETTOP,2019,0.59,0.74,0.73,0.57,0.46,0.32,0.12,0.09,0.09,0.09,0.13,0.55,0.37
GWETTOP,2020,0.55,0.51,0.49,0.49,0.38,0.17,0.09,0.09,0.08,0.08,0.27,0.38,0.3
GWETTOP,2021,0.45,0.56,0.52,0.43,0.24,0.12,0.09,0.08,0.08,0.23,0.44,0.51,0.31
