PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.53,0.52,0.59,0.6,0.59,0.55,0.46,0.4,0.38,0.41,0.42,0.41,0.49
GWETTOP,2012,0.45,0.46,0.51,0.53,0.48,0.44,0.37,0.33,0.3,0.32,0.41,0.49,0.42
GWETTOP,2013,0.5,0.49,0.48,0.49,0.46,0.41,0.36,0.34,0.36,0.37,0.38,0.39,0.42
GWETTOP,2014,0.38,0.45,0.48,0.47,0.43,0.38,0.35,0.34,0.3,0.38,0.42,0.52,0.41
GWETTOP,2015,0.5,0.52,0.5,0.47,0.5,0.44,0.42,0.38,0.37,0.39,0.41,0.48,0.45
GWETTOP,2016,0.55,0.57,0.6,0.57,0.57,0.5,0.41,0.37,0.35,0.41,0.44,0.51,0.49
GWETTOP,2017,0.57,0.64,0.63,0.64,0.59,0.53,0.44,0.41,0.39,0.4,0.48,0.47,0.52
GWETTOP,2018,0.5,0.49,0.54,0.55,0.55,0.48,0.4,0.37,0.34,0.4,0.41,0.47,0.46
GWETTOP,2019,0.52,0.58,0.6,0.6,0.57,0.52,0.43,0.38,0.41,0.41,0.4,0.48,0.49
GWETTOP,2020,0.51,0.51,0.52,0.51,0.49,0.44,0.38,0.34,0.3,0.3,0.39,0.41,0.42
GWETTOP,2021,0.43,0.47,0.45,0.42,0.4,0.34,0.27,0.24,0.31,0.41,0.42,0.44,0.38
