PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.7,0.73,0.79,0.78,0.7,0.59,0.45,0.35,0.32,0.35,0.36,0.35,0.54
GWETTOP,2012,0.38,0.43,0.45,0.45,0.38,0.31,0.19,0.23,0.16,0.25,0.34,0.46,0.34
GWETTOP,2013,0.54,0.56,0.52,0.46,0.4,0.33,0.25,0.22,0.24,0.27,0.3,0.37,0.37
GWETTOP,2014,0.36,0.41,0.46,0.43,0.39,0.33,0.26,0.22,0.16,0.23,0.31,0.38,0.33
GWETTOP,2015,0.38,0.4,0.38,0.36,0.41,0.38,0.36,0.3,0.2,0.32,0.38,0.4,0.36
GWETTOP,2016,0.46,0.58,0.58,0.54,0.5,0.41,0.34,0.2,0.16,0.29,0.41,0.47,0.41
GWETTOP,2017,0.67,0.81,0.84,0.82,0.73,0.56,0.4,0.35,0.33,0.26,0.32,0.4,0.54
GWETTOP,2018,0.41,0.41,0.53,0.57,0.5,0.39,0.34,0.3,0.16,0.29,0.26,0.41,0.38
GWETTOP,2019,0.49,0.66,0.75,0.7,0.62,0.52,0.39,0.3,0.22,0.17,0.17,0.41,0.45
GWETTOP,2020,0.44,0.42,0.43,0.48,0.41,0.36,0.27,0.18,0.12,0.1,0.27,0.36,0.32
GWETTOP,2021,0.38,0.49,0.48,0.43,0.38,0.32,0.3,0.22,0.13,0.29,0.41,0.46,0.36
