PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.81,0.81,0.88,0.86,0.75,0.64,0.48,0.32,0.19,0.45,0.49,0.49,0.6
GWETTOP,2012,0.55,0.62,0.7,0.75,0.58,0.45,0.26,0.16,0.12,0.23,0.54,0.81,0.48
GWETTOP,2013,0.85,0.81,0.76,0.66,0.5,0.39,0.23,0.16,0.23,0.24,0.3,0.48,0.47
GWETTOP,2014,0.43,0.62,0.68,0.65,0.51,0.34,0.19,0.14,0.21,0.34,0.49,0.8,0.45
GWETTOP,2015,0.83,0.84,0.77,0.66,0.52,0.41,0.25,0.16,0.19,0.22,0.48,0.57,0.49
GWETTOP,2016,0.76,0.78,0.84,0.77,0.62,0.47,0.27,0.16,0.13,0.37,0.59,0.71,0.54
GWETTOP,2017,0.88,0.95,0.92,0.89,0.77,0.56,0.38,0.22,0.15,0.21,0.49,0.52,0.58
GWETTOP,2018,0.65,0.62,0.71,0.7,0.55,0.42,0.23,0.15,0.12,0.33,0.32,0.62,0.45
GWETTOP,2019,0.77,0.88,0.92,0.88,0.78,0.6,0.43,0.24,0.19,0.17,0.2,0.68,0.56
GWETTOP,2020,0.73,0.68,0.61,0.56,0.49,0.34,0.17,0.15,0.13,0.12,0.31,0.5,0.4
GWETTOP,2021,0.55,0.6,0.58,0.5,0.38,0.2,0.14,0.12,0.13,0.34,0.7,0.76,0.41
