PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.72,0.66,0.64,0.55,0.44,0.37,0.23,0.17,0.14,0.3,0.38,0.4,0.41
GWETTOP,2012,0.39,0.39,0.4,0.41,0.37,0.27,0.17,0.13,0.13,0.19,0.27,0.41,0.3
GWETTOP,2013,0.42,0.43,0.41,0.36,0.29,0.16,0.13,0.12,0.12,0.19,0.25,0.36,0.27
GWETTOP,2014,0.3,0.33,0.41,0.37,0.23,0.13,0.12,0.16,0.13,0.11,0.26,0.45,0.25
GWETTOP,2015,0.48,0.45,0.41,0.36,0.32,0.2,0.22,0.17,0.26,0.3,0.23,0.32,0.3
GWETTOP,2016,0.47,0.45,0.46,0.41,0.37,0.25,0.13,0.11,0.12,0.2,0.3,0.45,0.3
GWETTOP,2017,0.69,0.8,0.76,0.6,0.45,0.37,0.23,0.17,0.2,0.14,0.19,0.16,0.39
GWETTOP,2018,0.37,0.4,0.45,0.41,0.36,0.23,0.12,0.11,0.11,0.28,0.25,0.48,0.3
GWETTOP,2019,0.62,0.81,0.8,0.69,0.54,0.43,0.34,0.2,0.15,0.13,0.23,0.58,0.46
GWETTOP,2020,0.67,0.58,0.6,0.66,0.48,0.38,0.26,0.16,0.12,0.12,0.21,0.2,0.37
GWETTOP,2021,0.38,0.4,0.4,0.36,0.27,0.16,0.13,0.15,0.16,0.27,0.26,0.38,0.27
