PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.94,0.9,0.96,0.91,0.84,0.76,0.52,0.37,0.23,0.48,0.51,0.49,0.66
GWETTOP,2012,0.55,0.66,0.79,0.88,0.74,0.53,0.38,0.2,0.16,0.26,0.59,0.89,0.55
GWETTOP,2013,0.91,0.88,0.84,0.77,0.58,0.47,0.35,0.19,0.33,0.37,0.42,0.49,0.55
GWETTOP,2014,0.48,0.73,0.83,0.8,0.63,0.45,0.27,0.24,0.22,0.43,0.52,0.8,0.53
GWETTOP,2015,0.81,0.82,0.75,0.63,0.55,0.46,0.33,0.19,0.15,0.43,0.55,0.7,0.53
GWETTOP,2016,0.88,0.91,0.93,0.88,0.78,0.55,0.37,0.16,0.14,0.5,0.77,0.88,0.64
GWETTOP,2017,0.96,0.98,0.94,0.92,0.81,0.59,0.38,0.2,0.29,0.34,0.63,0.73,0.65
GWETTOP,2018,0.78,0.77,0.86,0.89,0.77,0.55,0.36,0.16,0.12,0.36,0.34,0.69,0.55
GWETTOP,2019,0.83,0.95,0.95,0.9,0.8,0.64,0.45,0.22,0.3,0.4,0.25,0.76,0.62
GWETTOP,2020,0.79,0.75,0.73,0.79,0.63,0.49,0.3,0.17,0.14,0.12,0.39,0.55,0.48
GWETTOP,2021,0.62,0.77,0.77,0.63,0.49,0.32,0.16,0.14,0.22,0.48,0.79,0.81,0.52
