PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.89,0.87,0.93,0.91,0.84,0.77,0.55,0.37,0.26,0.47,0.5,0.49,0.65
GWETTOP,2012,0.54,0.64,0.74,0.81,0.7,0.53,0.37,0.19,0.14,0.23,0.57,0.86,0.52
GWETTOP,2013,0.88,0.88,0.84,0.77,0.61,0.48,0.36,0.23,0.4,0.41,0.45,0.48,0.56
GWETTOP,2014,0.48,0.64,0.76,0.74,0.62,0.45,0.29,0.34,0.23,0.45,0.52,0.78,0.52
GWETTOP,2015,0.8,0.83,0.78,0.69,0.59,0.49,0.42,0.24,0.19,0.43,0.51,0.64,0.55
GWETTOP,2016,0.8,0.86,0.88,0.83,0.73,0.55,0.38,0.18,0.13,0.45,0.67,0.8,0.6
GWETTOP,2017,0.91,0.96,0.93,0.91,0.8,0.59,0.4,0.25,0.3,0.34,0.6,0.68,0.64
GWETTOP,2018,0.73,0.74,0.82,0.84,0.73,0.56,0.39,0.18,0.13,0.36,0.34,0.6,0.54
GWETTOP,2019,0.77,0.9,0.93,0.89,0.78,0.63,0.45,0.24,0.33,0.46,0.41,0.68,0.62
GWETTOP,2020,0.72,0.71,0.71,0.73,0.62,0.5,0.33,0.2,0.15,0.12,0.36,0.54,0.48
GWETTOP,2021,0.62,0.72,0.7,0.61,0.5,0.35,0.18,0.13,0.23,0.47,0.75,0.76,0.5
