PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.58,0.54,0.53,0.44,0.29,0.17,0.14,0.12,0.21,0.21,0.38,0.4,0.34
GWETTOP,2012,0.32,0.34,0.34,0.34,0.2,0.1,0.16,0.24,0.2,0.14,0.19,0.34,0.24
GWETTOP,2013,0.41,0.41,0.32,0.2,0.16,0.09,0.15,0.19,0.27,0.23,0.27,0.34,0.25
GWETTOP,2014,0.2,0.22,0.38,0.26,0.17,0.1,0.12,0.23,0.16,0.12,0.21,0.41,0.22
GWETTOP,2015,0.41,0.35,0.34,0.2,0.25,0.14,0.2,0.15,0.17,0.24,0.24,0.28,0.25
GWETTOP,2016,0.44,0.41,0.29,0.26,0.2,0.11,0.08,0.09,0.16,0.19,0.23,0.38,0.23
GWETTOP,2017,0.52,0.54,0.5,0.36,0.23,0.12,0.1,0.16,0.2,0.12,0.11,0.1,0.25
GWETTOP,2018,0.32,0.28,0.3,0.2,0.13,0.09,0.14,0.13,0.09,0.27,0.22,0.41,0.22
GWETTOP,2019,0.44,0.54,0.52,0.42,0.3,0.2,0.12,0.1,0.18,0.16,0.23,0.47,0.3
GWETTOP,2020,0.46,0.43,0.48,0.48,0.32,0.16,0.09,0.09,0.09,0.07,0.2,0.18,0.25
GWETTOP,2021,0.33,0.36,0.3,0.2,0.12,0.09,0.12,0.21,0.15,0.21,0.16,0.32,0.21
