PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.73,0.72,0.79,0.76,0.62,0.51,0.38,0.24,0.14,0.37,0.4,0.39,0.5
GWETTOP,2012,0.41,0.47,0.55,0.61,0.46,0.35,0.2,0.11,0.1,0.2,0.45,0.68,0.38
GWETTOP,2013,0.72,0.68,0.6,0.52,0.4,0.3,0.16,0.11,0.21,0.21,0.27,0.4,0.38
GWETTOP,2014,0.38,0.51,0.55,0.52,0.41,0.28,0.14,0.11,0.15,0.26,0.41,0.65,0.37
GWETTOP,2015,0.66,0.67,0.58,0.48,0.42,0.33,0.18,0.12,0.1,0.27,0.42,0.51,0.39
GWETTOP,2016,0.67,0.71,0.76,0.68,0.52,0.38,0.23,0.12,0.1,0.34,0.53,0.66,0.48
GWETTOP,2017,0.84,0.9,0.88,0.85,0.72,0.5,0.32,0.2,0.14,0.19,0.44,0.48,0.54
GWETTOP,2018,0.6,0.58,0.68,0.68,0.52,0.38,0.23,0.12,0.1,0.27,0.27,0.54,0.41
GWETTOP,2019,0.67,0.8,0.84,0.78,0.67,0.49,0.34,0.2,0.22,0.2,0.17,0.57,0.49
GWETTOP,2020,0.59,0.55,0.55,0.55,0.43,0.34,0.16,0.11,0.09,0.09,0.27,0.42,0.34
GWETTOP,2021,0.47,0.58,0.55,0.45,0.36,0.2,0.11,0.09,0.12,0.32,0.59,0.67,0.38
