PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.77,0.74,0.78,0.7,0.55,0.48,0.29,0.17,0.23,0.31,0.48,0.52,0.5
GWETTOP,2012,0.51,0.51,0.52,0.54,0.48,0.27,0.2,0.25,0.21,0.22,0.3,0.45,0.37
GWETTOP,2013,0.51,0.52,0.52,0.46,0.3,0.17,0.2,0.24,0.29,0.34,0.39,0.47,0.37
GWETTOP,2014,0.29,0.36,0.51,0.47,0.27,0.16,0.16,0.3,0.2,0.14,0.32,0.52,0.3
GWETTOP,2015,0.55,0.52,0.52,0.46,0.45,0.28,0.3,0.21,0.31,0.36,0.41,0.46,0.41
GWETTOP,2016,0.62,0.59,0.55,0.51,0.46,0.24,0.17,0.13,0.23,0.25,0.31,0.54,0.38
GWETTOP,2017,0.76,0.84,0.83,0.7,0.57,0.41,0.23,0.23,0.2,0.16,0.16,0.16,0.43
GWETTOP,2018,0.42,0.48,0.52,0.47,0.28,0.16,0.17,0.17,0.14,0.29,0.24,0.55,0.32
GWETTOP,2019,0.63,0.81,0.84,0.73,0.63,0.53,0.34,0.2,0.22,0.2,0.3,0.69,0.51
GWETTOP,2020,0.7,0.65,0.7,0.77,0.61,0.48,0.29,0.16,0.12,0.12,0.38,0.28,0.44
GWETTOP,2021,0.48,0.5,0.52,0.48,0.27,0.16,0.16,0.23,0.21,0.37,0.24,0.44,0.34
