PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.77,0.77,0.84,0.82,0.74,0.68,0.59,0.52,0.43,0.5,0.52,0.52,0.64
GWETTOP,2012,0.56,0.61,0.66,0.71,0.61,0.52,0.44,0.38,0.34,0.34,0.52,0.74,0.54
GWETTOP,2013,0.77,0.74,0.7,0.63,0.52,0.48,0.41,0.35,0.33,0.32,0.37,0.48,0.51
GWETTOP,2014,0.46,0.59,0.63,0.62,0.52,0.45,0.38,0.3,0.29,0.34,0.48,0.77,0.48
GWETTOP,2015,0.78,0.79,0.73,0.65,0.58,0.52,0.44,0.38,0.31,0.29,0.48,0.55,0.54
GWETTOP,2016,0.7,0.73,0.78,0.73,0.63,0.54,0.45,0.39,0.33,0.42,0.56,0.66,0.58
GWETTOP,2017,0.84,0.91,0.91,0.88,0.78,0.66,0.56,0.47,0.4,0.37,0.5,0.52,0.65
GWETTOP,2018,0.63,0.62,0.68,0.69,0.59,0.52,0.43,0.38,0.3,0.32,0.34,0.59,0.51
GWETTOP,2019,0.7,0.8,0.86,0.81,0.75,0.65,0.55,0.46,0.39,0.33,0.31,0.62,0.6
GWETTOP,2020,0.66,0.62,0.59,0.57,0.51,0.44,0.35,0.26,0.22,0.19,0.34,0.48,0.44
GWETTOP,2021,0.52,0.57,0.56,0.51,0.45,0.36,0.27,0.23,0.23,0.38,0.66,0.72,0.45
