PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.7,0.7,0.77,0.7,0.52,0.45,0.32,0.16,0.12,0.35,0.39,0.38,0.46
GWETTOP,2012,0.39,0.45,0.5,0.54,0.42,0.3,0.15,0.1,0.09,0.19,0.41,0.64,0.35
GWETTOP,2013,0.7,0.64,0.55,0.47,0.36,0.23,0.13,0.1,0.17,0.19,0.25,0.41,0.35
GWETTOP,2014,0.38,0.47,0.51,0.48,0.38,0.23,0.12,0.1,0.14,0.22,0.41,0.64,0.34
GWETTOP,2015,0.66,0.66,0.55,0.46,0.4,0.27,0.14,0.11,0.09,0.23,0.42,0.49,0.38
GWETTOP,2016,0.66,0.69,0.73,0.62,0.48,0.34,0.17,0.1,0.09,0.3,0.48,0.58,0.44
GWETTOP,2017,0.8,0.88,0.87,0.81,0.59,0.41,0.23,0.12,0.11,0.16,0.38,0.43,0.48
GWETTOP,2018,0.53,0.52,0.6,0.59,0.45,0.32,0.16,0.1,0.09,0.24,0.27,0.52,0.37
GWETTOP,2019,0.64,0.77,0.8,0.7,0.54,0.41,0.26,0.12,0.16,0.16,0.16,0.55,0.44
GWETTOP,2020,0.56,0.52,0.5,0.51,0.4,0.27,0.12,0.09,0.09,0.09,0.24,0.41,0.31
GWETTOP,2021,0.45,0.55,0.52,0.43,0.32,0.16,0.1,0.09,0.1,0.27,0.53,0.62,0.34
