PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.85,0.82,0.83,0.77,0.58,0.48,0.27,0.2,0.2,0.4,0.5,0.53,0.53
GWETTOP,2012,0.52,0.55,0.55,0.58,0.41,0.23,0.19,0.16,0.14,0.29,0.4,0.62,0.38
GWETTOP,2013,0.68,0.62,0.56,0.43,0.27,0.23,0.16,0.16,0.15,0.18,0.3,0.38,0.34
GWETTOP,2014,0.24,0.5,0.59,0.53,0.3,0.23,0.23,0.19,0.23,0.2,0.52,0.66,0.37
GWETTOP,2015,0.64,0.62,0.55,0.45,0.35,0.24,0.29,0.23,0.23,0.28,0.51,0.53,0.41
GWETTOP,2016,0.65,0.66,0.65,0.55,0.39,0.21,0.17,0.16,0.16,0.32,0.54,0.61,0.42
GWETTOP,2017,0.83,0.91,0.87,0.76,0.55,0.33,0.18,0.14,0.2,0.18,0.3,0.28,0.46
GWETTOP,2018,0.53,0.53,0.63,0.59,0.45,0.24,0.18,0.16,0.2,0.27,0.3,0.59,0.39
GWETTOP,2019,0.7,0.84,0.85,0.71,0.58,0.43,0.23,0.16,0.16,0.19,0.22,0.66,0.48
GWETTOP,2020,0.7,0.61,0.64,0.66,0.46,0.23,0.16,0.15,0.13,0.12,0.34,0.35,0.38
GWETTOP,2021,0.58,0.73,0.64,0.51,0.29,0.18,0.14,0.13,0.12,0.23,0.53,0.62,0.39
