PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.84,0.84,0.89,0.87,0.76,0.67,0.59,0.44,0.37,0.54,0.57,0.57,0.66
GWETTOP,2012,0.6,0.65,0.71,0.77,0.65,0.57,0.43,0.35,0.37,0.43,0.58,0.8,0.58
GWETTOP,2013,0.84,0.81,0.76,0.66,0.57,0.54,0.36,0.36,0.38,0.41,0.5,0.55,0.56
GWETTOP,2014,0.52,0.61,0.68,0.66,0.58,0.44,0.34,0.3,0.34,0.39,0.55,0.82,0.52
GWETTOP,2015,0.85,0.85,0.8,0.7,0.61,0.55,0.38,0.34,0.33,0.37,0.57,0.66,0.58
GWETTOP,2016,0.82,0.84,0.88,0.83,0.71,0.59,0.45,0.33,0.31,0.48,0.65,0.76,0.63
GWETTOP,2017,0.91,0.95,0.92,0.89,0.77,0.62,0.5,0.36,0.36,0.37,0.55,0.59,0.65
GWETTOP,2018,0.71,0.7,0.77,0.77,0.64,0.56,0.38,0.33,0.31,0.35,0.41,0.67,0.55
GWETTOP,2019,0.8,0.9,0.91,0.86,0.77,0.65,0.55,0.37,0.37,0.33,0.35,0.71,0.62
GWETTOP,2020,0.76,0.72,0.69,0.7,0.6,0.51,0.34,0.31,0.3,0.28,0.43,0.56,0.52
GWETTOP,2021,0.6,0.71,0.68,0.61,0.55,0.37,0.3,0.28,0.3,0.46,0.7,0.79,0.53
