PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.84,0.79,0.81,0.77,0.56,0.47,0.25,0.16,0.18,0.37,0.45,0.49,0.51
GWETTOP,2012,0.49,0.49,0.48,0.55,0.42,0.22,0.15,0.13,0.16,0.23,0.34,0.55,0.35
GWETTOP,2013,0.59,0.56,0.52,0.41,0.25,0.17,0.14,0.16,0.13,0.16,0.32,0.41,0.31
GWETTOP,2014,0.22,0.37,0.59,0.5,0.28,0.17,0.14,0.15,0.15,0.13,0.43,0.6,0.31
GWETTOP,2015,0.61,0.56,0.5,0.36,0.27,0.24,0.24,0.19,0.25,0.34,0.36,0.41,0.36
GWETTOP,2016,0.59,0.59,0.6,0.52,0.39,0.2,0.13,0.12,0.12,0.23,0.44,0.55,0.38
GWETTOP,2017,0.77,0.89,0.85,0.71,0.53,0.3,0.18,0.14,0.25,0.17,0.18,0.18,0.43
GWETTOP,2018,0.46,0.48,0.58,0.55,0.42,0.22,0.14,0.12,0.12,0.26,0.27,0.54,0.34
GWETTOP,2019,0.7,0.87,0.87,0.73,0.59,0.48,0.25,0.16,0.14,0.12,0.2,0.62,0.48
GWETTOP,2020,0.67,0.57,0.61,0.66,0.48,0.27,0.16,0.14,0.12,0.12,0.23,0.25,0.35
GWETTOP,2021,0.51,0.59,0.53,0.42,0.24,0.16,0.12,0.12,0.12,0.24,0.44,0.52,0.34
