-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2021 
Location: Latitude  37.2862   Longitude -121.726 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 233.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.8,0.8,0.86,0.84,0.7,0.58,0.48,0.29,0.17,0.44,0.48,0.48,0.58
GWETTOP,2012,0.51,0.55,0.62,0.69,0.53,0.42,0.23,0.16,0.13,0.24,0.5,0.76,0.45
GWETTOP,2013,0.82,0.77,0.69,0.57,0.46,0.26,0.17,0.15,0.22,0.23,0.3,0.48,0.42
GWETTOP,2014,0.46,0.53,0.6,0.57,0.48,0.27,0.17,0.14,0.2,0.27,0.48,0.79,0.41
GWETTOP,2015,0.83,0.82,0.73,0.59,0.5,0.41,0.21,0.16,0.14,0.2,0.49,0.59,0.47
GWETTOP,2016,0.79,0.82,0.86,0.8,0.63,0.48,0.28,0.16,0.14,0.36,0.59,0.71,0.55
GWETTOP,2017,0.9,0.95,0.91,0.87,0.7,0.51,0.34,0.17,0.16,0.21,0.47,0.52,0.55
GWETTOP,2018,0.64,0.62,0.71,0.69,0.53,0.43,0.21,0.15,0.14,0.21,0.29,0.62,0.44
GWETTOP,2019,0.77,0.89,0.91,0.84,0.7,0.53,0.41,0.2,0.2,0.18,0.2,0.66,0.54
GWETTOP,2020,0.72,0.66,0.61,0.62,0.5,0.35,0.18,0.15,0.13,0.12,0.31,0.49,0.41
GWETTOP,2021,0.54,0.66,0.61,0.52,0.43,0.23,0.16,0.13,0.13,0.32,0.64,0.73,0.42
