PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.84,0.82,0.88,0.87,0.73,0.62,0.5,0.42,0.24,0.46,0.5,0.5,0.62
GWETTOP,2012,0.54,0.59,0.66,0.73,0.56,0.48,0.35,0.21,0.18,0.28,0.49,0.79,0.49
GWETTOP,2013,0.84,0.8,0.7,0.57,0.48,0.35,0.21,0.19,0.24,0.25,0.34,0.48,0.45
GWETTOP,2014,0.41,0.53,0.64,0.59,0.49,0.38,0.23,0.18,0.23,0.29,0.5,0.8,0.44
GWETTOP,2015,0.84,0.82,0.72,0.57,0.51,0.45,0.3,0.22,0.23,0.3,0.51,0.61,0.51
GWETTOP,2016,0.8,0.82,0.85,0.77,0.6,0.48,0.34,0.2,0.18,0.38,0.58,0.71,0.56
GWETTOP,2017,0.89,0.95,0.91,0.85,0.67,0.52,0.4,0.22,0.23,0.23,0.46,0.5,0.56
GWETTOP,2018,0.63,0.6,0.68,0.66,0.53,0.45,0.28,0.19,0.18,0.25,0.31,0.62,0.45
GWETTOP,2019,0.76,0.88,0.89,0.8,0.66,0.54,0.45,0.27,0.23,0.21,0.23,0.71,0.55
GWETTOP,2020,0.75,0.68,0.64,0.66,0.52,0.44,0.26,0.2,0.18,0.16,0.35,0.48,0.44
GWETTOP,2021,0.54,0.68,0.61,0.52,0.47,0.31,0.2,0.18,0.18,0.36,0.6,0.71,0.45
