PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.88,0.87,0.94,0.91,0.84,0.73,0.51,0.27,0.23,0.46,0.49,0.49,0.63
GWETTOP,2012,0.55,0.61,0.72,0.84,0.69,0.52,0.34,0.16,0.13,0.23,0.62,0.91,0.52
GWETTOP,2013,0.92,0.89,0.85,0.79,0.58,0.48,0.33,0.21,0.3,0.42,0.4,0.48,0.55
GWETTOP,2014,0.47,0.62,0.77,0.73,0.54,0.38,0.21,0.23,0.22,0.48,0.56,0.84,0.5
GWETTOP,2015,0.88,0.91,0.86,0.77,0.57,0.45,0.3,0.17,0.28,0.34,0.49,0.76,0.56
GWETTOP,2016,0.94,0.93,0.95,0.87,0.75,0.54,0.38,0.16,0.12,0.55,0.87,0.94,0.66
GWETTOP,2017,0.97,0.98,0.94,0.94,0.81,0.58,0.33,0.17,0.21,0.3,0.66,0.74,0.63
GWETTOP,2018,0.8,0.81,0.86,0.88,0.74,0.52,0.28,0.15,0.13,0.43,0.4,0.8,0.56
GWETTOP,2019,0.93,0.96,0.95,0.93,0.83,0.63,0.4,0.28,0.33,0.4,0.27,0.77,0.63
GWETTOP,2020,0.85,0.87,0.82,0.8,0.69,0.54,0.33,0.2,0.14,0.14,0.38,0.56,0.52
GWETTOP,2021,0.73,0.86,0.86,0.74,0.52,0.34,0.15,0.15,0.32,0.48,0.84,0.86,0.57
