PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.93,0.91,0.97,0.92,0.86,0.8,0.55,0.41,0.26,0.48,0.52,0.51,0.67
GWETTOP,2012,0.57,0.7,0.81,0.9,0.77,0.57,0.44,0.2,0.16,0.26,0.61,0.91,0.57
GWETTOP,2013,0.91,0.89,0.87,0.82,0.63,0.5,0.4,0.21,0.4,0.42,0.45,0.5,0.58
GWETTOP,2014,0.49,0.73,0.84,0.82,0.67,0.49,0.31,0.32,0.23,0.46,0.55,0.84,0.56
GWETTOP,2015,0.85,0.86,0.81,0.72,0.6,0.5,0.4,0.21,0.18,0.44,0.54,0.7,0.56
GWETTOP,2016,0.88,0.91,0.94,0.88,0.8,0.59,0.42,0.19,0.14,0.51,0.77,0.89,0.66
GWETTOP,2017,0.95,0.98,0.94,0.93,0.83,0.61,0.42,0.24,0.3,0.36,0.67,0.77,0.66
GWETTOP,2018,0.81,0.81,0.89,0.91,0.8,0.59,0.43,0.19,0.14,0.38,0.37,0.67,0.58
GWETTOP,2019,0.84,0.95,0.95,0.91,0.82,0.67,0.48,0.26,0.33,0.48,0.36,0.75,0.65
GWETTOP,2020,0.79,0.78,0.76,0.8,0.67,0.53,0.37,0.2,0.16,0.13,0.4,0.57,0.52
GWETTOP,2021,0.65,0.79,0.79,0.67,0.52,0.4,0.18,0.14,0.23,0.51,0.8,0.81,0.54
