PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.86,0.85,0.91,0.9,0.82,0.73,0.48,0.34,0.19,0.4,0.44,0.47,0.61
GWETTOP,2012,0.56,0.7,0.77,0.83,0.7,0.52,0.38,0.19,0.12,0.24,0.5,0.8,0.52
GWETTOP,2013,0.83,0.84,0.81,0.77,0.6,0.44,0.33,0.23,0.28,0.41,0.42,0.43,0.53
GWETTOP,2014,0.43,0.59,0.75,0.71,0.55,0.41,0.27,0.2,0.22,0.47,0.6,0.81,0.5
GWETTOP,2015,0.84,0.88,0.84,0.77,0.63,0.45,0.36,0.19,0.22,0.29,0.42,0.64,0.54
GWETTOP,2016,0.82,0.88,0.91,0.84,0.74,0.52,0.37,0.18,0.13,0.49,0.73,0.83,0.62
GWETTOP,2017,0.89,0.95,0.91,0.89,0.79,0.58,0.36,0.22,0.22,0.28,0.54,0.62,0.6
GWETTOP,2018,0.69,0.7,0.74,0.75,0.62,0.45,0.31,0.15,0.12,0.38,0.4,0.65,0.49
GWETTOP,2019,0.8,0.88,0.91,0.88,0.78,0.59,0.38,0.29,0.31,0.41,0.38,0.61,0.6
GWETTOP,2020,0.71,0.75,0.71,0.66,0.55,0.45,0.32,0.21,0.13,0.16,0.36,0.5,0.46
GWETTOP,2021,0.66,0.74,0.74,0.62,0.45,0.36,0.17,0.16,0.29,0.45,0.67,0.69,0.5
