-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2021 
Location: Latitude  38.2   Longitude -122.0126 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 105.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.7,0.69,0.76,0.7,0.55,0.5,0.41,0.23,0.16,0.4,0.44,0.45,0.5
GWETTOP,2012,0.42,0.48,0.52,0.55,0.48,0.34,0.2,0.14,0.13,0.22,0.46,0.64,0.38
GWETTOP,2013,0.7,0.64,0.57,0.51,0.42,0.25,0.17,0.14,0.21,0.21,0.28,0.46,0.38
GWETTOP,2014,0.45,0.51,0.53,0.52,0.45,0.25,0.16,0.13,0.17,0.23,0.45,0.66,0.38
GWETTOP,2015,0.69,0.7,0.6,0.52,0.47,0.37,0.21,0.16,0.18,0.2,0.45,0.55,0.42
GWETTOP,2016,0.76,0.8,0.84,0.77,0.61,0.47,0.31,0.17,0.14,0.35,0.56,0.71,0.54
GWETTOP,2017,0.89,0.95,0.92,0.88,0.74,0.54,0.41,0.23,0.18,0.22,0.48,0.51,0.58
GWETTOP,2018,0.64,0.63,0.72,0.72,0.55,0.45,0.27,0.17,0.14,0.27,0.3,0.62,0.45
GWETTOP,2019,0.76,0.87,0.91,0.85,0.75,0.57,0.45,0.27,0.19,0.16,0.19,0.64,0.55
GWETTOP,2020,0.71,0.67,0.6,0.56,0.48,0.35,0.2,0.16,0.13,0.12,0.3,0.48,0.4
GWETTOP,2021,0.54,0.61,0.58,0.49,0.41,0.22,0.16,0.13,0.12,0.33,0.7,0.77,0.42
