PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.91,0.91,0.95,0.9,0.81,0.73,0.58,0.45,0.3,0.54,0.59,0.61,0.69
GWETTOP,2012,0.68,0.8,0.84,0.88,0.75,0.59,0.45,0.31,0.24,0.34,0.64,0.93,0.62
GWETTOP,2013,0.93,0.88,0.84,0.77,0.6,0.52,0.42,0.29,0.34,0.36,0.4,0.53,0.57
GWETTOP,2014,0.51,0.73,0.84,0.82,0.66,0.52,0.36,0.25,0.34,0.48,0.57,0.9,0.58
GWETTOP,2015,0.91,0.91,0.85,0.77,0.63,0.53,0.41,0.27,0.34,0.34,0.54,0.72,0.6
GWETTOP,2016,0.91,0.91,0.94,0.87,0.76,0.59,0.46,0.3,0.24,0.52,0.79,0.89,0.68
GWETTOP,2017,0.96,0.97,0.93,0.91,0.8,0.63,0.48,0.33,0.28,0.33,0.61,0.66,0.66
GWETTOP,2018,0.79,0.8,0.84,0.85,0.73,0.59,0.44,0.3,0.25,0.47,0.43,0.77,0.6
GWETTOP,2019,0.89,0.95,0.95,0.91,0.84,0.7,0.55,0.39,0.31,0.28,0.3,0.82,0.66
GWETTOP,2020,0.88,0.86,0.8,0.73,0.63,0.53,0.36,0.27,0.25,0.23,0.41,0.59,0.55
GWETTOP,2021,0.7,0.79,0.76,0.66,0.55,0.4,0.28,0.23,0.27,0.48,0.84,0.88,0.57
