PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.75,0.73,0.8,0.73,0.54,0.46,0.27,0.12,0.1,0.38,0.42,0.42,0.48
GWETTOP,2012,0.43,0.48,0.52,0.56,0.45,0.25,0.12,0.09,0.09,0.19,0.42,0.67,0.36
GWETTOP,2013,0.75,0.68,0.57,0.48,0.32,0.16,0.12,0.1,0.16,0.19,0.27,0.44,0.35
GWETTOP,2014,0.41,0.48,0.53,0.5,0.38,0.16,0.11,0.09,0.14,0.21,0.44,0.7,0.34
GWETTOP,2015,0.73,0.71,0.59,0.48,0.41,0.21,0.12,0.1,0.09,0.21,0.46,0.52,0.39
GWETTOP,2016,0.7,0.74,0.77,0.64,0.48,0.3,0.12,0.09,0.09,0.3,0.5,0.59,0.45
GWETTOP,2017,0.82,0.91,0.88,0.8,0.55,0.37,0.14,0.09,0.1,0.16,0.39,0.45,0.47
GWETTOP,2018,0.54,0.52,0.59,0.56,0.45,0.23,0.12,0.09,0.09,0.19,0.26,0.56,0.35
GWETTOP,2019,0.68,0.82,0.83,0.7,0.52,0.39,0.17,0.1,0.13,0.14,0.17,0.59,0.44
GWETTOP,2020,0.61,0.55,0.53,0.52,0.41,0.2,0.11,0.09,0.09,0.09,0.26,0.42,0.32
GWETTOP,2021,0.48,0.59,0.54,0.45,0.28,0.13,0.09,0.09,0.09,0.26,0.52,0.62,0.34
