PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.79,0.8,0.86,0.84,0.73,0.6,0.42,0.27,0.15,0.39,0.43,0.42,0.55
GWETTOP,2012,0.48,0.53,0.63,0.7,0.52,0.38,0.22,0.11,0.09,0.2,0.48,0.77,0.42
GWETTOP,2013,0.8,0.77,0.71,0.61,0.44,0.34,0.2,0.11,0.23,0.24,0.3,0.41,0.43
GWETTOP,2014,0.4,0.55,0.64,0.59,0.44,0.3,0.14,0.12,0.15,0.3,0.44,0.73,0.4
GWETTOP,2015,0.76,0.77,0.7,0.56,0.44,0.32,0.18,0.11,0.16,0.18,0.41,0.5,0.42
GWETTOP,2016,0.7,0.73,0.8,0.7,0.53,0.4,0.23,0.11,0.09,0.31,0.51,0.64,0.48
GWETTOP,2017,0.84,0.92,0.9,0.86,0.7,0.47,0.3,0.15,0.11,0.17,0.43,0.45,0.52
GWETTOP,2018,0.55,0.53,0.61,0.6,0.45,0.34,0.16,0.09,0.09,0.3,0.28,0.52,0.38
GWETTOP,2019,0.7,0.84,0.89,0.84,0.73,0.51,0.36,0.18,0.14,0.14,0.16,0.59,0.51
GWETTOP,2020,0.62,0.59,0.52,0.47,0.41,0.27,0.12,0.11,0.11,0.1,0.27,0.42,0.34
GWETTOP,2021,0.47,0.51,0.49,0.42,0.31,0.15,0.09,0.08,0.12,0.3,0.59,0.66,0.35
