PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.9,0.88,0.92,0.88,0.73,0.6,0.38,0.16,0.12,0.48,0.52,0.53,0.59
GWETTOP,2012,0.61,0.73,0.76,0.82,0.58,0.34,0.17,0.11,0.09,0.21,0.55,0.89,0.48
GWETTOP,2013,0.92,0.88,0.82,0.69,0.48,0.27,0.2,0.12,0.22,0.28,0.34,0.48,0.47
GWETTOP,2014,0.44,0.61,0.81,0.73,0.52,0.23,0.12,0.15,0.2,0.45,0.54,0.88,0.48
GWETTOP,2015,0.9,0.9,0.82,0.65,0.48,0.23,0.19,0.12,0.2,0.23,0.47,0.66,0.48
GWETTOP,2016,0.89,0.91,0.93,0.83,0.62,0.44,0.17,0.1,0.09,0.41,0.7,0.85,0.58
GWETTOP,2017,0.95,0.97,0.92,0.88,0.65,0.4,0.15,0.12,0.17,0.23,0.53,0.58,0.54
GWETTOP,2018,0.67,0.66,0.7,0.7,0.52,0.31,0.13,0.09,0.09,0.32,0.31,0.72,0.44
GWETTOP,2019,0.87,0.95,0.95,0.88,0.71,0.48,0.2,0.16,0.21,0.23,0.22,0.71,0.55
GWETTOP,2020,0.78,0.73,0.62,0.56,0.49,0.34,0.14,0.12,0.12,0.11,0.32,0.51,0.4
GWETTOP,2021,0.6,0.7,0.66,0.52,0.31,0.16,0.1,0.09,0.2,0.39,0.73,0.78,0.44
