PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.94,0.91,0.96,0.91,0.83,0.7,0.5,0.3,0.17,0.53,0.57,0.62,0.66
GWETTOP,2012,0.72,0.87,0.91,0.93,0.78,0.55,0.44,0.2,0.13,0.27,0.61,0.94,0.61
GWETTOP,2013,0.95,0.9,0.88,0.84,0.61,0.48,0.34,0.21,0.31,0.49,0.49,0.51,0.58
GWETTOP,2014,0.5,0.7,0.88,0.86,0.67,0.48,0.24,0.16,0.24,0.55,0.7,0.92,0.57
GWETTOP,2015,0.91,0.93,0.86,0.77,0.55,0.44,0.3,0.19,0.32,0.33,0.49,0.79,0.57
GWETTOP,2016,0.95,0.93,0.95,0.86,0.71,0.51,0.36,0.16,0.12,0.55,0.84,0.93,0.66
GWETTOP,2017,0.97,0.98,0.94,0.93,0.8,0.56,0.35,0.21,0.23,0.33,0.63,0.74,0.63
GWETTOP,2018,0.8,0.83,0.88,0.88,0.73,0.52,0.3,0.15,0.12,0.42,0.41,0.79,0.57
GWETTOP,2019,0.92,0.96,0.95,0.91,0.79,0.59,0.41,0.25,0.3,0.41,0.34,0.76,0.63
GWETTOP,2020,0.86,0.88,0.81,0.77,0.65,0.52,0.34,0.17,0.14,0.16,0.38,0.58,0.52
GWETTOP,2021,0.77,0.88,0.87,0.73,0.53,0.4,0.16,0.12,0.28,0.5,0.82,0.86,0.58
