PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.9,0.88,0.88,0.85,0.72,0.62,0.46,0.27,0.2,0.45,0.48,0.48,0.59
GWETTOP,2012,0.45,0.57,0.59,0.65,0.55,0.41,0.23,0.15,0.13,0.24,0.41,0.58,0.41
GWETTOP,2013,0.65,0.63,0.59,0.53,0.46,0.28,0.19,0.2,0.19,0.25,0.4,0.46,0.4
GWETTOP,2014,0.34,0.5,0.55,0.55,0.51,0.33,0.2,0.19,0.17,0.23,0.49,0.56,0.38
GWETTOP,2015,0.57,0.58,0.55,0.52,0.5,0.37,0.34,0.21,0.22,0.39,0.52,0.59,0.45
GWETTOP,2016,0.75,0.8,0.78,0.7,0.61,0.48,0.27,0.16,0.13,0.22,0.49,0.61,0.5
GWETTOP,2017,0.87,0.94,0.9,0.84,0.68,0.52,0.3,0.19,0.26,0.27,0.36,0.45,0.55
GWETTOP,2018,0.5,0.5,0.63,0.68,0.56,0.44,0.26,0.16,0.14,0.35,0.33,0.57,0.43
GWETTOP,2019,0.66,0.83,0.88,0.78,0.69,0.6,0.43,0.24,0.17,0.15,0.2,0.61,0.52
GWETTOP,2020,0.62,0.58,0.59,0.68,0.56,0.47,0.26,0.17,0.14,0.12,0.34,0.43,0.41
GWETTOP,2021,0.49,0.56,0.57,0.52,0.43,0.26,0.16,0.14,0.13,0.33,0.51,0.59,0.39
