PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.9,0.9,0.95,0.91,0.81,0.69,0.49,0.31,0.3,0.47,0.48,0.47,0.64
GWETTOP,2012,0.47,0.6,0.66,0.74,0.56,0.45,0.23,0.21,0.18,0.27,0.51,0.8,0.48
GWETTOP,2013,0.85,0.83,0.77,0.66,0.52,0.38,0.24,0.2,0.27,0.32,0.41,0.48,0.49
GWETTOP,2014,0.46,0.59,0.7,0.64,0.53,0.38,0.28,0.25,0.22,0.33,0.49,0.63,0.46
GWETTOP,2015,0.63,0.66,0.59,0.54,0.54,0.45,0.39,0.23,0.2,0.42,0.55,0.65,0.48
GWETTOP,2016,0.82,0.88,0.9,0.85,0.73,0.52,0.32,0.16,0.15,0.41,0.64,0.77,0.59
GWETTOP,2017,0.92,0.97,0.93,0.91,0.77,0.54,0.32,0.26,0.32,0.34,0.48,0.58,0.61
GWETTOP,2018,0.63,0.6,0.78,0.85,0.7,0.49,0.32,0.21,0.16,0.35,0.33,0.7,0.51
GWETTOP,2019,0.8,0.91,0.94,0.88,0.77,0.61,0.41,0.23,0.23,0.22,0.19,0.7,0.57
GWETTOP,2020,0.73,0.66,0.65,0.74,0.58,0.46,0.3,0.19,0.16,0.14,0.38,0.52,0.46
GWETTOP,2021,0.55,0.76,0.76,0.61,0.48,0.34,0.27,0.23,0.16,0.39,0.65,0.68,0.49
