PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.77,0.68,0.72,0.66,0.5,0.38,0.18,0.13,0.17,0.37,0.44,0.48,0.45
GWETTOP,2012,0.44,0.46,0.42,0.52,0.4,0.18,0.13,0.12,0.13,0.19,0.31,0.51,0.32
GWETTOP,2013,0.52,0.51,0.48,0.35,0.26,0.16,0.13,0.13,0.14,0.16,0.27,0.42,0.3
GWETTOP,2014,0.23,0.3,0.57,0.48,0.29,0.16,0.12,0.16,0.14,0.12,0.35,0.59,0.3
GWETTOP,2015,0.59,0.53,0.5,0.38,0.34,0.22,0.27,0.22,0.27,0.32,0.3,0.38,0.36
GWETTOP,2016,0.55,0.54,0.53,0.48,0.37,0.18,0.12,0.11,0.1,0.19,0.39,0.52,0.34
GWETTOP,2017,0.73,0.84,0.79,0.6,0.47,0.23,0.13,0.14,0.25,0.16,0.15,0.15,0.38
GWETTOP,2018,0.41,0.47,0.56,0.52,0.42,0.2,0.14,0.11,0.11,0.18,0.26,0.53,0.33
GWETTOP,2019,0.66,0.84,0.84,0.68,0.54,0.47,0.22,0.13,0.12,0.11,0.22,0.62,0.45
GWETTOP,2020,0.65,0.53,0.59,0.66,0.48,0.26,0.15,0.12,0.11,0.1,0.21,0.23,0.34
GWETTOP,2021,0.48,0.49,0.48,0.32,0.19,0.14,0.12,0.11,0.11,0.22,0.39,0.48,0.3
