PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.71,0.72,0.78,0.75,0.61,0.51,0.4,0.26,0.15,0.38,0.42,0.41,0.51
GWETTOP,2012,0.44,0.48,0.55,0.59,0.46,0.35,0.2,0.12,0.1,0.2,0.46,0.68,0.38
GWETTOP,2013,0.72,0.68,0.6,0.52,0.41,0.3,0.17,0.12,0.21,0.21,0.27,0.42,0.38
GWETTOP,2014,0.4,0.51,0.55,0.52,0.42,0.28,0.16,0.12,0.16,0.26,0.43,0.67,0.38
GWETTOP,2015,0.69,0.72,0.63,0.52,0.44,0.34,0.21,0.13,0.18,0.2,0.42,0.53,0.41
GWETTOP,2016,0.73,0.76,0.82,0.75,0.59,0.43,0.29,0.16,0.12,0.34,0.55,0.69,0.52
GWETTOP,2017,0.87,0.95,0.91,0.88,0.76,0.55,0.38,0.23,0.16,0.2,0.45,0.47,0.56
GWETTOP,2018,0.6,0.58,0.68,0.67,0.5,0.38,0.23,0.13,0.11,0.31,0.3,0.57,0.42
GWETTOP,2019,0.73,0.85,0.9,0.86,0.77,0.58,0.41,0.27,0.19,0.15,0.17,0.63,0.54
GWETTOP,2020,0.69,0.64,0.56,0.52,0.44,0.31,0.16,0.13,0.12,0.1,0.28,0.45,0.37
GWETTOP,2021,0.5,0.55,0.53,0.45,0.35,0.2,0.12,0.1,0.12,0.32,0.64,0.71,0.38
