PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.74,0.73,0.81,0.78,0.66,0.56,0.41,0.3,0.16,0.38,0.41,0.4,0.53
GWETTOP,2012,0.46,0.52,0.61,0.67,0.51,0.38,0.27,0.12,0.1,0.2,0.47,0.73,0.42
GWETTOP,2013,0.77,0.72,0.66,0.57,0.42,0.35,0.23,0.12,0.22,0.25,0.29,0.4,0.41
GWETTOP,2014,0.38,0.53,0.59,0.56,0.44,0.33,0.16,0.13,0.16,0.3,0.42,0.7,0.39
GWETTOP,2015,0.71,0.72,0.62,0.52,0.43,0.34,0.2,0.12,0.12,0.26,0.43,0.52,0.41
GWETTOP,2016,0.69,0.72,0.78,0.7,0.55,0.4,0.28,0.12,0.1,0.34,0.54,0.66,0.49
GWETTOP,2017,0.84,0.9,0.88,0.87,0.74,0.52,0.34,0.22,0.16,0.21,0.47,0.5,0.55
GWETTOP,2018,0.6,0.58,0.69,0.69,0.53,0.39,0.26,0.12,0.1,0.28,0.28,0.54,0.42
GWETTOP,2019,0.69,0.82,0.87,0.82,0.73,0.53,0.37,0.23,0.23,0.24,0.19,0.59,0.52
GWETTOP,2020,0.61,0.57,0.55,0.55,0.45,0.36,0.2,0.12,0.11,0.1,0.3,0.44,0.36
GWETTOP,2021,0.48,0.56,0.55,0.46,0.37,0.22,0.12,0.09,0.13,0.34,0.6,0.68,0.38
